example_id,system,human_fluency,human_adequacy,human_overall,gold_preference,llm_direct_score,rubric_overall,rubric_fluency,rubric_adequacy,rubric_terminology,challenge_category,source_en,output_system_a,output_system_b,reference_hi,translation,trans_length,src_length,bleu
ex_008,A,2.6667,3.6667,3.1667,A,4,4.25,4,5,4,ambiguous,"But, if used without further qualifiers, the term tends to mean the food originally from the central and eastern parts of the main island Java.","लेकिन, यदि इस शब्द का उपयोग अतिरिक्त विशेषक बिना किया जाता है, तो इसका अर्थ मुख्य रूप से मुख्य द्वीप जावा के केंद्रीय और पूर्वी भागों से मूल रूप से आया हुआ भोजन से होता है।","लेकिन, यदि इसे बिना किसी अतिरिक्त शर्त के इस्तेमाल किया जाए, तो यह शब्द मूल रूप से मुख्य द्वीप जावा के केंद्रीय और पूर्वी हिस्सों से आने वाले भोजन को दर्शाने की प्रवृत्ति रखता है।","लेकिन, अगर अतिरिक्त क्वालिफ़ायर के बिना इस्तेमाल किया जाए, तो इस शब्द का मतलब ऐसे खाने से है जो मूल रूप से मुख्य जावा द्वीप के मध्य और पूर्वी हिस्सों से आता है.","लेकिन, यदि इस शब्द का उपयोग अतिरिक्त विशेषक बिना किया जाता है, तो इसका अर्थ मुख्य रूप से मुख्य द्वीप जावा के केंद्रीय और पूर्वी भागों से मूल रूप से आया हुआ भोजन से होता है।",36,25,11.04872121033854
ex_008,B,3.3333,3.0,3.1667,A,5,4.75,5,5,4,ambiguous,"But, if used without further qualifiers, the term tends to mean the food originally from the central and eastern parts of the main island Java.","लेकिन, यदि इस शब्द का उपयोग अतिरिक्त विशेषक बिना किया जाता है, तो इसका अर्थ मुख्य रूप से मुख्य द्वीप जावा के केंद्रीय और पूर्वी भागों से मूल रूप से आया हुआ भोजन से होता है।","लेकिन, यदि इसे बिना किसी अतिरिक्त शर्त के इस्तेमाल किया जाए, तो यह शब्द मूल रूप से मुख्य द्वीप जावा के केंद्रीय और पूर्वी हिस्सों से आने वाले भोजन को दर्शाने की प्रवृत्ति रखता है।","लेकिन, अगर अतिरिक्त क्वालिफ़ायर के बिना इस्तेमाल किया जाए, तो इस शब्द का मतलब ऐसे खाने से है जो मूल रूप से मुख्य जावा द्वीप के मध्य और पूर्वी हिस्सों से आता है.","लेकिन, यदि इसे बिना किसी अतिरिक्त शर्त के इस्तेमाल किया जाए, तो यह शब्द मूल रूप से मुख्य द्वीप जावा के केंद्रीय और पूर्वी हिस्सों से आने वाले भोजन को दर्शाने की प्रवृत्ति रखता है।",35,25,25.569989681650263
ex_009,A,2.6667,3.3333,3.0,B,2,2.25,2,2,3,ambiguous,"Every morning, people leave small country towns in cars to go their workplace and are passed by others whose work destination is the place they have just left.","प्रत्येक सुबह, लोग अपने गाड़ियों में छोटे गांवों के शहरों से अलग हो जाते हैं जहां वे अपने कार्यस्थल पर जाते हैं और दूसरों द्वारा पार कर लिए जाते हैं जिनका कार्य स्थल वह जगह है जहां वे अब छोड़ चुके हैं।","हर सुबह, लोग छोटे ग्रामीण शहरों से कारों में निकलकर अपने कार्यस्थल पर जाते हैं और ऐसे अन्य लोग उन्हें पार करते हैं जिनका कार्यस्थल वही स्थान है जिसे वे अभी छोड़ चुके हैं।",काम पर जाने के लिए अपनी गाड़ियों से छोटे शहरो को छोड़ देते हैं और दूसरों द्वारा पारित किया गया काम की स्थान है जो उन्होंने अभी छोड़ी है।,"प्रत्येक सुबह, लोग अपने गाड़ियों में छोटे गांवों के शहरों से अलग हो जाते हैं जहां वे अपने कार्यस्थल पर जाते हैं और दूसरों द्वारा पार कर लिए जाते हैं जिनका कार्य स्थल वह जगह है जहां वे अब छोड़ चुके हैं।",42,28,6.870614559714761
ex_009,B,4.0,4.3333,4.1667,B,4,4.5,4,5,5,ambiguous,"Every morning, people leave small country towns in cars to go their workplace and are passed by others whose work destination is the place they have just left.","प्रत्येक सुबह, लोग अपने गाड़ियों में छोटे गांवों के शहरों से अलग हो जाते हैं जहां वे अपने कार्यस्थल पर जाते हैं और दूसरों द्वारा पार कर लिए जाते हैं जिनका कार्य स्थल वह जगह है जहां वे अब छोड़ चुके हैं।","हर सुबह, लोग छोटे ग्रामीण शहरों से कारों में निकलकर अपने कार्यस्थल पर जाते हैं और ऐसे अन्य लोग उन्हें पार करते हैं जिनका कार्यस्थल वही स्थान है जिसे वे अभी छोड़ चुके हैं।",काम पर जाने के लिए अपनी गाड़ियों से छोटे शहरो को छोड़ देते हैं और दूसरों द्वारा पारित किया गया काम की स्थान है जो उन्होंने अभी छोड़ी है।,"हर सुबह, लोग छोटे ग्रामीण शहरों से कारों में निकलकर अपने कार्यस्थल पर जाते हैं और ऐसे अन्य लोग उन्हें पार करते हैं जिनका कार्यस्थल वही स्थान है जिसे वे अभी छोड़ चुके हैं।",34,28,3.657993333229942
ex_010,A,4.3333,4.3333,4.3333,Tie,4,4.5,4,5,5,ambiguous,"It was the final match for the All Blacks, who had already won the trophy two weeks ago.","यह ऑल ब्लैक्स के लिए अंतिम मैच था, जिन्होंने पहले ही दो सप्ताह पहले ट्रॉफी जीत ली थी।","यह ऑल ब्लैक के लिए अंतिम मैच था, जिन्होंने पहले ही दो हफ्ते पहले ट्रॉफी जीत ली थी।",अभी दो हफ़्ते पहले ही इस ट्रॉफ़ी को अपने नाम कर चुकी 'ऑल ब्लैक्स' टीम का यह फ़ाइनल मैच था.,"यह ऑल ब्लैक्स के लिए अंतिम मैच था, जिन्होंने पहले ही दो सप्ताह पहले ट्रॉफी जीत ली थी।",18,18,5.70372861680265
ex_010,B,4.3333,4.3333,4.3333,Tie,4,4.5,4,5,5,ambiguous,"It was the final match for the All Blacks, who had already won the trophy two weeks ago.","यह ऑल ब्लैक्स के लिए अंतिम मैच था, जिन्होंने पहले ही दो सप्ताह पहले ट्रॉफी जीत ली थी।","यह ऑल ब्लैक के लिए अंतिम मैच था, जिन्होंने पहले ही दो हफ्ते पहले ट्रॉफी जीत ली थी।",अभी दो हफ़्ते पहले ही इस ट्रॉफ़ी को अपने नाम कर चुकी 'ऑल ब्लैक्स' टीम का यह फ़ाइनल मैच था.,"यह ऑल ब्लैक के लिए अंतिम मैच था, जिन्होंने पहले ही दो हफ्ते पहले ट्रॉफी जीत ली थी।",18,18,5.70372861680265
ex_011,A,4.0,4.0,4.0,Tie,2,3.0,3,4,2,hallucination_prone,"In 1956 Słania moved to Sweden, where three years later he began work for the Swedish Post Office and became their chief engraver.","1956 में स्लानिया स्वीडन चला गया, जहां तीन साल बाद उसने स्वीडिश पोस्ट ऑफिस के लिए काम शुरू कर दिया और उनके मुख्य सुरंगकार बन गया।","1956 में, स्लानिया स्वीडन चले गए, जहां तीन साल बाद उन्होंने स्वीडिश पोस्ट ऑफिस में काम शुरू किया और वहाँ के प्रमुख नक़्क़ाशीकार बन गए।","1956 में सोलेनिया स्वीडन चले गए, जहाँ तीन साल बाद उन्होंने स्वीडिश डाक घर के लिए काम करना शुरू किया और उनके मुख्य उकेरक बन गए।","1956 में स्लानिया स्वीडन चला गया, जहां तीन साल बाद उसने स्वीडिश पोस्ट ऑफिस के लिए काम शुरू कर दिया और उनके मुख्य सुरंगकार बन गया।",26,23,14.132052098159443
ex_011,B,4.0,4.0,4.0,Tie,4,4.75,5,5,4,hallucination_prone,"In 1956 Słania moved to Sweden, where three years later he began work for the Swedish Post Office and became their chief engraver.","1956 में स्लानिया स्वीडन चला गया, जहां तीन साल बाद उसने स्वीडिश पोस्ट ऑफिस के लिए काम शुरू कर दिया और उनके मुख्य सुरंगकार बन गया।","1956 में, स्लानिया स्वीडन चले गए, जहां तीन साल बाद उन्होंने स्वीडिश पोस्ट ऑफिस में काम शुरू किया और वहाँ के प्रमुख नक़्क़ाशीकार बन गए।","1956 में सोलेनिया स्वीडन चले गए, जहाँ तीन साल बाद उन्होंने स्वीडिश डाक घर के लिए काम करना शुरू किया और उनके मुख्य उकेरक बन गए।","1956 में, स्लानिया स्वीडन चले गए, जहां तीन साल बाद उन्होंने स्वीडिश पोस्ट ऑफिस में काम शुरू किया और वहाँ के प्रमुख नक़्क़ाशीकार बन गए।",25,23,30.32929624979452
ex_012,A,4.0,3.3333,3.6667,B,3,3.75,3,5,4,hallucination_prone,"In late 2017, Siminoff appeared on shopping television channel QVC.","देर से 2017 में, सिमिनॉफ खरीदारी टेलीविजन चैनल QVC पर दिखाई दिया।","2017 के अंत में, सिमिनोफ शॉपिंग टेलीविजन चैनल QVC पर दिखाई दिए।","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.","देर से 2017 में, सिमिनॉफ खरीदारी टेलीविजन चैनल QVC पर दिखाई दिया।",12,10,8.953363688807181
ex_012,B,4.0,4.0,4.0,B,5,5.0,5,5,5,hallucination_prone,"In late 2017, Siminoff appeared on shopping television channel QVC.","देर से 2017 में, सिमिनॉफ खरीदारी टेलीविजन चैनल QVC पर दिखाई दिया।","2017 के अंत में, सिमिनोफ शॉपिंग टेलीविजन चैनल QVC पर दिखाई दिए।","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.","2017 के अंत में, सिमिनोफ शॉपिंग टेलीविजन चैनल QVC पर दिखाई दिए।",12,10,32.79475209724913
ex_013,A,4.0,4.6667,4.3333,A,2,3.25,3,4,3,hallucination_prone,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.","नौवीं वार्ड, जहां कैटरिना तूफान के दौरान पानी 20 फीट तक बरसा, अब आसपास के बांध के ऊपर बह जाने के कारण कमर के ऊपर तक पानी में डूबी हुई है।","नौवें वार्ड, जहाँ हरिकेन कतरिना के दौरान पानी की गहराई 20 फीट तक पहुँच गई थी, वर्तमान में कमर-ऊंचाई का पानी है क्योंकि पास का लेवी ओवरटॉप हो गया है।","नौवाँ वार्ड, जो तूफ़ान कैटरीना के दौरान 20 फ़ीट तक ऊँचा देखा गया था, वह वर्तमान में कमर से ऊपर पानी में है, क्योंकि पास का बाँध ज़्यादा बढ़ गया था.","नौवीं वार्ड, जहां कैटरिना तूफान के दौरान पानी 20 फीट तक बरसा, अब आसपास के बांध के ऊपर बह जाने के कारण कमर के ऊपर तक पानी में डूबी हुई है।",31,25,4.260871077757724
ex_013,B,3.0,3.0,3.0,A,3,3.5,3,4,4,hallucination_prone,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.","नौवीं वार्ड, जहां कैटरिना तूफान के दौरान पानी 20 फीट तक बरसा, अब आसपास के बांध के ऊपर बह जाने के कारण कमर के ऊपर तक पानी में डूबी हुई है।","नौवें वार्ड, जहाँ हरिकेन कतरिना के दौरान पानी की गहराई 20 फीट तक पहुँच गई थी, वर्तमान में कमर-ऊंचाई का पानी है क्योंकि पास का लेवी ओवरटॉप हो गया है।","नौवाँ वार्ड, जो तूफ़ान कैटरीना के दौरान 20 फ़ीट तक ऊँचा देखा गया था, वह वर्तमान में कमर से ऊपर पानी में है, क्योंकि पास का बाँध ज़्यादा बढ़ गया था.","नौवें वार्ड, जहाँ हरिकेन कतरिना के दौरान पानी की गहराई 20 फीट तक पहुँच गई थी, वर्तमान में कमर-ऊंचाई का पानी है क्योंकि पास का लेवी ओवरटॉप हो गया है।",30,25,7.392391824522734
ex_014,A,3.3333,3.6667,3.5,A,2,2.75,3,3,2,hallucination_prone,"He was also engaged in engraving banknotes for many countries, recent examples of his work including the Prime Ministerial portraits on the front of the new Canadian $5 and $100 bills.","वह कई देशों के नोटों के सिक्के बनाने में भी लगा रहा, नए कनाडाई $5 और $100 नोटों के सामने प्रधानमंत्री के चित्र उसके काम के हालिया उदाहरण हैं।","वह कई देशों के बैंकनोट्स के उत्कीर्णन में भी संलग्न थे, उनके हालिया कार्यों के उदाहरणों में नए कैनेडियन $5 और $100 बिलों के सामने प्रधानमंत्री के चित्र शामिल हैं।","वे कई देशों के बैंक नोटों को भी उकेरने में शामिल थे, हाल ही में नए कनाडाई $5 और $100 बिलों के सामने वाले हिस्से में प्रधानमंत्री के चित्र उनके हाल के कामों के कुछ उदाहरण हैं.","वह कई देशों के नोटों के सिक्के बनाने में भी लगा रहा, नए कनाडाई $5 और $100 नोटों के सामने प्रधानमंत्री के चित्र उसके काम के हालिया उदाहरण हैं।",29,31,22.4693389230107
ex_014,B,3.3333,4.0,3.6667,A,4,4.5,4,5,5,hallucination_prone,"He was also engaged in engraving banknotes for many countries, recent examples of his work including the Prime Ministerial portraits on the front of the new Canadian $5 and $100 bills.","वह कई देशों के नोटों के सिक्के बनाने में भी लगा रहा, नए कनाडाई $5 और $100 नोटों के सामने प्रधानमंत्री के चित्र उसके काम के हालिया उदाहरण हैं।","वह कई देशों के बैंकनोट्स के उत्कीर्णन में भी संलग्न थे, उनके हालिया कार्यों के उदाहरणों में नए कैनेडियन $5 और $100 बिलों के सामने प्रधानमंत्री के चित्र शामिल हैं।","वे कई देशों के बैंक नोटों को भी उकेरने में शामिल थे, हाल ही में नए कनाडाई $5 और $100 बिलों के सामने वाले हिस्से में प्रधानमंत्री के चित्र उनके हाल के कामों के कुछ उदाहरण हैं.","वह कई देशों के बैंकनोट्स के उत्कीर्णन में भी संलग्न थे, उनके हालिया कार्यों के उदाहरणों में नए कैनेडियन $5 और $100 बिलों के सामने प्रधानमंत्री के चित्र शामिल हैं।",30,31,26.34713634418067
ex_015,A,3.3333,3.6667,3.5,B,3,4.0,3,4,5,hallucination_prone,"In 1884, Tesla moved to the United States of America to accept a job with the Edison Company in New York City.","1884 में, टेस्ला ने न्यूयॉर्क शहर में एडिसन कंपनी के साथ एक नौकरी स्वीकार करने के लिए संयुक्त राज्य अमेरिका चले गए।","1884 में, टेस्ला संयुक्त राज्य अमेरिका चले गए ताकि वे न्यूयॉर्क शहर में एडिसन कंपनी में नौकरी स्वीकार कर सकें।","1884 में, टेस्ला न्यूयॉर्क शहर में एडिसन कंपनी के साथ नौकरी स्वीकार करने के लिए यूनाइटेड स्टेट्स ऑफ़ अमेरिका चले गए।","1884 में, टेस्ला ने न्यूयॉर्क शहर में एडिसन कंपनी के साथ एक नौकरी स्वीकार करने के लिए संयुक्त राज्य अमेरिका चले गए।",22,22,56.68706143897176
ex_015,B,4.3333,4.0,4.1667,B,5,5.0,5,5,5,hallucination_prone,"In 1884, Tesla moved to the United States of America to accept a job with the Edison Company in New York City.","1884 में, टेस्ला ने न्यूयॉर्क शहर में एडिसन कंपनी के साथ एक नौकरी स्वीकार करने के लिए संयुक्त राज्य अमेरिका चले गए।","1884 में, टेस्ला संयुक्त राज्य अमेरिका चले गए ताकि वे न्यूयॉर्क शहर में एडिसन कंपनी में नौकरी स्वीकार कर सकें।","1884 में, टेस्ला न्यूयॉर्क शहर में एडिसन कंपनी के साथ नौकरी स्वीकार करने के लिए यूनाइटेड स्टेट्स ऑफ़ अमेरिका चले गए।","1884 में, टेस्ला संयुक्त राज्य अमेरिका चले गए ताकि वे न्यूयॉर्क शहर में एडिसन कंपनी में नौकरी स्वीकार कर सकें।",20,22,31.700764910441084
