example_id,system,challenge_category,rubric_adequacy,rubric_fluency,rubric_terminology,rubric_style,raw,rubric_overall
ex_016,B,hallucination_prone,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_017,A,hallucination_prone,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_017,B,hallucination_prone,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_018,A,hallucination_prone,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_018,B,hallucination_prone,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_019,A,hallucination_prone,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_019,B,hallucination_prone,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_020,A,hallucination_prone,5,5,4,5,"{""adequacy"":5,""fluency"":5,""terminology"":4,""style"":5}",4.75
ex_020,B,hallucination_prone,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_021,A,noisy_input,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_021,B,noisy_input,4,3,4,3,"{""adequacy"":4,""fluency"":3,""terminology"":4,""style"":3}",3.5
ex_022,A,noisy_input,5,4,4,4,"{""adequacy"":5,""fluency"":4,""terminology"":4,""style"":4}",4.25
ex_022,B,noisy_input,5,5,4,5,"{""adequacy"":5,""fluency"":5,""terminology"":4,""style"":5}",4.75
ex_023,A,noisy_input,4,3,4,3,"{""adequacy"":4,""fluency"":3,""terminology"":4,""style"":3}",3.5
ex_023,B,noisy_input,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_024,A,noisy_input,4,2,2,2,"{""adequacy"":4,""fluency"":2,""terminology"":2,""style"":2}",2.5
ex_024,B,noisy_input,5,5,4,4,"{""adequacy"":5,""fluency"":5,""terminology"":4,""style"":4}",4.5
ex_025,A,noisy_input,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_025,B,noisy_input,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_026,A,noisy_input,1,1,1,1,"{""adequacy"":1,""fluency"":1,""terminology"":1,""style"":1}",1.0
ex_026,B,noisy_input,4,3,4,3,"{""adequacy"":4,""fluency"":3,""terminology"":4,""style"":3}",3.5
ex_027,A,noisy_input,4,3,3,3,"{""adequacy"":4,""fluency"":3,""terminology"":3,""style"":3}",3.25
ex_027,B,noisy_input,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_028,A,noisy_input,4,5,3,5,"{""adequacy"":4,""fluency"":5,""terminology"":3,""style"":5}",4.25
ex_028,B,noisy_input,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_029,A,noisy_input,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_029,B,noisy_input,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_030,A,noisy_input,2,2,2,2,"{""adequacy"":2,""fluency"":2,""terminology"":2,""style"":2}",2.0
ex_030,B,noisy_input,2,2,3,2,"{""adequacy"":2,""fluency"":2,""terminology"":3,""style"":2}",2.25
ex_031,A,negation_quantifier,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_031,B,negation_quantifier,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_032,A,negation_quantifier,2,2,1,2,"{""adequacy"":2,""fluency"":2,""terminology"":1,""style"":2}",1.75
ex_032,B,negation_quantifier,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_033,A,negation_quantifier,1,2,1,2,"{""adequacy"":1,""fluency"":2,""terminology"":1,""style"":2}",1.5
ex_033,B,negation_quantifier,5,4,5,5,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":5}",4.75
ex_034,A,negation_quantifier,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_034,B,negation_quantifier,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_035,A,negation_quantifier,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_035,B,negation_quantifier,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_036,A,negation_quantifier,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_036,B,negation_quantifier,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_037,A,negation_quantifier,4,3,4,3,"{""adequacy"":4,""fluency"":3,""terminology"":4,""style"":3}",3.5
ex_037,B,negation_quantifier,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_038,A,negation_quantifier,3,2,2,2,"{""adequacy"":3,""fluency"":2,""terminology"":2,""style"":2}",2.25
ex_038,B,negation_quantifier,4,5,4,5,"{""adequacy"":4,""fluency"":5,""terminology"":4,""style"":5}",4.5
ex_039,A,negation_quantifier,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_039,B,negation_quantifier,5,4,5,5,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":5}",4.75
ex_040,A,negation_quantifier,4,3,3,3,"{""adequacy"":4,""fluency"":3,""terminology"":3,""style"":3}",3.25
ex_040,B,negation_quantifier,5,5,4,5,"{""adequacy"":5,""fluency"":5,""terminology"":4,""style"":5}",4.75
ex_041,A,long_complex,5,4,4,4,"{""adequacy"":5,""fluency"":4,""terminology"":4,""style"":4}",4.25
ex_041,B,long_complex,4,4,4,4,"{""adequacy"":4,""fluency"":4,""terminology"":4,""style"":4}",4.0
ex_042,A,long_complex,4,3,4,3,"{""adequacy"":4,""fluency"":3,""terminology"":4,""style"":3}",3.5
ex_042,B,long_complex,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_043,A,long_complex,4,3,4,3,"{""adequacy"":4,""fluency"":3,""terminology"":4,""style"":3}",3.5
ex_043,B,long_complex,4,4,4,4,"{""adequacy"":4,""fluency"":4,""terminology"":4,""style"":4}",4.0
ex_044,A,long_complex,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_044,B,long_complex,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_045,A,long_complex,4,3,5,4,"{""adequacy"":4,""fluency"":3,""terminology"":5,""style"":4}",4.0
ex_045,B,long_complex,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_046,A,long_complex,5,5,5,5,"{""adequacy"":5,""fluency"":5,""terminology"":5,""style"":5}",5.0
ex_046,B,long_complex,5,4,5,4,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":4}",4.5
ex_047,A,long_complex,2,2,2,2,"{""adequacy"":2,""fluency"":2,""terminology"":2,""style"":2}",2.0
ex_047,B,long_complex,4,3,5,4,"{""adequacy"":4,""fluency"":3,""terminology"":5,""style"":4}",4.0
ex_048,A,long_complex,4,3,4,3,"{""adequacy"":4,""fluency"":3,""terminology"":4,""style"":3}",3.5
ex_048,B,long_complex,4,4,5,4,"{""adequacy"":4,""fluency"":4,""terminology"":5,""style"":4}",4.25
ex_049,A,long_complex,4,3,5,3,"{""adequacy"":4,""fluency"":3,""terminology"":5,""style"":3}",3.75
ex_049,B,long_complex,5,4,5,5,"{""adequacy"":5,""fluency"":4,""terminology"":5,""style"":5}",4.75
ex_050,A,long_complex,5,4,3,4,"{""adequacy"":5,""fluency"":4,""terminology"":3,""style"":4}",4.0
ex_050,B,long_complex,5,5,4,5,"{""adequacy"":5,""fluency"":5,""terminology"":4,""style"":5}",4.75
